word1,word2,count,Cn1,Prob
badass,gop,1,1,0.250079533
badger,home,1,1,0.251511135
bag,wonder,1,1,0.2504772
bah,humbug,1,1,0.250079533
bail,bond,1,2,0.125159067
bail,jump,1,2,0.125159067
bailey,attempt,1,1,0.2502386
balanc,can,1,3,0.087628137
balanc,come,1,3,0.085321668
balanc,current,1,3,0.0834924
ball,given,1,4,0.062818134
ball,hawk,1,4,0.062579533
ball,play,1,4,0.064011135
ball,ya,1,4,0.062659067
ballet,victim,1,1,0.250318134
ban,ok,1,2,0.125397667
ban,wouldn,1,2,0.1252386
band,check,1,7,0.03674822
band,consist,1,7,0.035793819
band,cornetist,1,7,0.035793819
band,goe,1,7,0.035952886
band,play,1,7,0.03722542
band,right,1,7,0.037145887
band,studio,1,7,0.035952886
bane,childhood,1,1,0.250079533
bank,also,1,5,0.051670201
bank,amboy,1,5,0.050079533
bank,confer,1,5,0.050397667
bank,debt,1,5,0.050159067
bank,want,1,5,0.051829268
banker,engag,1,1,0.250079533
bar,busi,1,3,0.084367268
bar,pretti,1,3,0.084128667
bar,restaur,1,3,0.0834924
barbar,toward,1,1,0.250556734
barbera,bring,1,3,0.083890067
barbera,role,1,3,0.083731
barbera,voic,1,3,0.083571934
barbra,streisand,1,1,0.250079533
baron,weasel,1,1,0.250079533
barrett,acknowledg,1,1,0.250079533
barrier,reef,1,1,0.250079533
base,email,1,6,0.0419848
base,gang,1,6,0.0419848
base,howev,1,6,0.042143867
base,kind,1,6,0.042382467
base,lead,1,6,0.041905267
base,light,1,6,0.0422234
basebal,great,1,2,0.126590668
basebal,know,1,2,0.127863203
bash,truax,1,1,0.250159067
basi,go,1,2,0.128658537
basi,team,1,2,0.125636267
basic,thought,1,1,0.251033934
basketbal,experi,1,4,0.062897667
basketbal,fan,1,4,0.062659067
basketbal,game,1,4,0.063772534
basketbal,underneath,1,4,0.062579533
bass,band,1,2,0.1254772
bass,compar,1,2,0.125159067
bat,dan,1,5,0.050159067
bat,frustrat,1,5,0.050159067
bat,happen,1,5,0.050397667
bat,lohs,1,5,0.050079533
bat,practic,1,5,0.0502386
batter,edward,1,2,0.1252386
batter,plate,1,2,0.125159067
